wl mean sd sem
596 1.52107349776727 NA NA
597 1.52083674442371 NA NA
598 1.52060096440566 NA NA
599 1.52036615072825 NA NA
600 1.52013229647546 NA NA
601 1.51989939479917 NA NA
602 1.51966743891862 NA NA
603 1.5194364221195 NA NA
604 1.51920633775292 NA NA
605 1.51897717923487 NA NA
606 1.51874894004564 NA NA
607 1.51852161372837 NA NA
608 1.5182951938891 NA NA
609 1.51806967419552 NA NA
610 1.51784504837641 NA NA
611 1.51762131022084 NA NA
612 1.5173984535776 NA NA
613 1.51717647235442 NA NA
614 1.51695536051715 NA NA
615 1.51673511208924 NA NA
616 1.51651572115116 NA NA
617 1.51629718183935 NA NA
618 1.51607948834607 NA NA
619 1.51586263491841 NA NA
620 1.5156466158576 NA NA
621 1.51543142551868 NA NA
622 1.51521705830971 NA NA
623 1.51500350869112 NA NA
624 1.51479077117514 NA NA
625 1.51457884032521 NA NA
626 1.51436771075551 NA NA
627 1.51415737713018 NA NA
628 1.51394783416285 NA NA
629 1.51373907661606 NA NA
630 1.51353109930069 NA NA
631 1.51332389707551 NA NA
632 1.51311746484647 NA NA
633 1.5129117975662 NA NA
634 1.51270689023363 NA NA
635 1.51250273789345 NA NA
636 1.51229933563524 NA NA
637 1.51209667859341 NA NA
638 1.51189476194659 NA NA
639 1.51169358091685 NA NA
640 1.51149313076971 NA NA
641 1.51129340681322 NA NA
642 1.51109440439748 NA NA
643 1.51089611891468 NA NA
644 1.51069854579814 NA NA
645 1.51050168052178 NA NA
646 1.51030551860025 NA NA
647 1.51011005558795 NA NA
648 1.50991528707865 NA NA
649 1.50972120870549 NA NA
650 1.5095278161399 NA NA
651 1.50933510509171 NA NA
652 1.50914307130841 NA NA
653 1.50895171057491 NA NA
654 1.50876101871321 NA NA
655 1.5085709915816 NA NA
656 1.50838162507475 NA NA
657 1.50819291512304 NA NA
658 1.50800485769208 NA NA
659 1.50781744878281 NA NA
660 1.50763068443043 NA NA
661 1.50744456070473 NA NA
662 1.50725907370905 NA NA
663 1.50707421958041 NA NA
664 1.50688999448916 NA NA
665 1.5067063946381 NA NA
666 1.50652341626279 NA NA
667 1.50634105563063 NA NA
668 1.5061593090411 NA NA
669 1.50597817282495 NA NA
670 1.50579764334391 NA NA
671 1.50561771699065 NA NA
672 1.50543839018831 NA NA
673 1.50525965938993 NA NA
674 1.50508152107865 NA NA
675 1.50490397176691 NA NA
676 1.50472700799644 NA NA
677 1.50455062633774 NA NA
678 1.50437482338991 NA NA
679 1.50419959578053 NA NA
680 1.50402494016496 NA NA
681 1.50385085322624 NA NA
682 1.50367733167504 NA NA
683 1.50350437224886 NA NA
684 1.50333197171231 NA NA
685 1.50316012685641 NA NA
686 1.50298883449849 NA NA
687 1.50281809148211 NA NA
688 1.50264789467628 NA NA
689 1.50247824097567 NA NA
690 1.50230912730021 NA NA
691 1.5021405505948 NA NA
692 1.50197250782901 NA NA
693 1.50180499599686 NA NA
694 1.50163801211674 NA NA
695 1.50147155323087 NA NA
696 1.5013056164053 NA NA
697 1.50114019872947 NA NA
698 1.50097529731627 NA NA
699 1.5008109093014 NA NA
700 1.50064703184354 NA NA
701 1.50048366212387 NA NA
702 1.5003207973458 NA NA
703 1.50015843473507 NA NA
704 1.4999965715392 NA NA
705 1.4998352050274 NA NA
706 1.4996743324903 NA NA
707 1.49951395123992 NA NA
708 1.49935405860921 NA NA
709 1.49919465195203 NA NA
710 1.4990357286428 NA NA
711 1.49887728607631 NA NA
712 1.49871932166777 NA NA
713 1.49856183285231 NA NA
714 1.49840481708495 NA NA
715 1.49824827184008 NA NA
716 1.49809219461202 NA NA
717 1.49793658291393 NA NA
718 1.49778143427818 NA NA
719 1.49762674625608 NA NA
720 1.49747251641759 NA NA
721 1.49731874235126 NA NA
722 1.49716542166383 NA NA
723 1.4970125519804 NA NA
724 1.4968601309439 NA NA
725 1.4967081562151 NA NA
726 1.49655662547256 NA NA
727 1.49640553641215 NA NA
728 1.49625488674719 NA NA
729 1.49610467420808 NA NA
730 1.49595489654211 NA NA
731 1.49580555151354 NA NA
732 1.49565663690325 NA NA
733 1.49550815050863 NA NA
734 1.49536009014341 NA NA
735 1.49521245363742 NA NA
736 1.49506523883674 NA NA
737 1.49491844360316 NA NA
738 1.49477206581431 NA NA
739 1.49462610336338 NA NA
740 1.49448055415897 NA NA
741 1.49433541612511 NA NA
742 1.49419068720076 NA NA
743 1.49404636534021 NA NA
744 1.49390244851245 NA NA
745 1.49375893470114 NA NA
746 1.49361582190467 NA NA
747 1.49347310813601 NA NA
748 1.49333079142212 NA NA
749 1.49318886980456 NA NA
750 1.49304734133871 NA NA
751 1.49290620409398 NA NA
752 1.49276545615355 NA NA
753 1.49262509561444 NA NA
754 1.49248512058704 NA NA
755 1.49234552919536 NA NA
756 1.49220631957653 NA NA
757 1.49206748988113 NA NA
758 1.49192903827254 NA NA
759 1.49179096292744 NA NA
760 1.49165326203499 NA NA
761 1.49151593379741 NA NA
762 1.49137897642922 NA NA
763 1.49124238815778 NA NA
764 1.49110616722249 NA NA
765 1.49097031187539 NA NA
766 1.49083482038027 NA NA
767 1.49069969101342 NA NA
768 1.49056492206275 NA NA
769 1.4904305118282 NA NA
770 1.49029645862139 NA NA
771 1.49016276076547 NA NA
772 1.49002941659535 NA NA
773 1.48989642445724 NA NA
774 1.48976378270859 NA NA
775 1.48963148971828 NA NA
776 1.48949954386616 NA NA
777 1.48936794354328 NA NA
778 1.48923668715135 NA NA
779 1.48910577310324 NA NA
780 1.48897519982237 NA NA
781 1.4888449657429 NA NA
782 1.48871506930951 NA NA
783 1.48858550897734 NA NA
784 1.48845628321189 NA NA
785 1.48832739048909 NA NA
786 1.48819882929485 NA NA
787 1.48807059812534 NA NA
788 1.48794269548681 NA NA
789 1.48781511989519 NA NA
790 1.48768786987655 NA NA
791 1.48756094396662 NA NA
792 1.48743434071075 NA NA
793 1.48730805866394 NA NA
794 1.48718209639074 NA NA
795 1.48705645246506 NA NA
796 1.48693112547031 NA NA
797 1.48680611399905 NA NA
798 1.48668141665304 NA NA
799 1.48655703204328 NA NA
800 1.48643295878972 NA NA
801 1.48629112518077 NA NA
802 1.48614955275113 NA NA
803 1.48600823964504 NA NA
804 1.4858671840177 NA NA
805 1.48572638403556 NA NA
806 1.48558583787609 NA NA
807 1.48544554372758 NA NA
808 1.48530549978947 NA NA
809 1.48516570427168 NA NA
810 1.485026155395 NA NA
811 1.48488685139084 NA NA
812 1.48474779050098 NA NA
813 1.48460897097792 NA NA
814 1.48447039108417 NA NA
815 1.4843320490928 NA NA
816 1.48419394328701 NA NA
